76.25,-26.92,73.75,-26.92
73.75,-26.92,71.75,-26.92
71.75,-26.92,71.75,-28.25
71.75,-28.25,69.88,-28.25
69.88,-28.25,69.88,-35.25
69.88,-35.25,65.00,-35.25
65.00,-35.25,65.00,-38.33
90.75,-43.00,99.75,-42.83
99.75,-42.83,99.88,-32.83
99.88,-32.83,92.88,-32.92
92.88,-32.92,93.00,-26.67
93.00,-26.67,76.25,-26.92
127.00,-16.58,127.00,-10.58
127.00,-10.58,122.75,-10.67
122.75,-10.67,112.00,-10.75
112.00,-10.75,111.75,-32.75
111.75,-32.75,99.88,-32.83
93.13,-11.00,93.00,-26.67
162.87,-10.33,145.38,-10.42
145.38,-10.42,145.50,6.42
145.50,6.42,140.50,6.50
140.50,6.50,123.00,6.67
123.00,6.67,122.88,0.33
122.88,0.33,122.75,-10.67
89.00,-11.00,93.13,-11.00
93.13,-11.00,112.00,-10.75
122.88,0.33,109.63,0.25
109.63,0.25,109.63,1.25
109.63,1.25,106.88,1.33
106.88,1.33,106.88,5.25
106.88,5.25,106.62,5.25
106.62,5.25,106.75,9.83
106.75,9.83,105.12,9.83
105.12,9.83,105.12,11.83
105.12,11.83,96.38,11.92
96.38,11.92,96.38,9.87
96.38,9.87,95.25,9.87
95.25,9.87,95.12,-4.00
95.12,-4.00,89.13,-4.00
89.13,-4.00,89.00,-11.00
89.00,-11.00,77.75,-9.17
77.75,-9.17,75.25,-9.17
75.25,-9.17,75.12,-13.75
75.12,-13.75,74.00,-13.75
74.00,-13.75,73.75,-26.92
41.12,-22.17,41.25,-0.75
41.25,-0.75,50.88,-0.67
50.88,-0.67,51.00,10.33
51.00,10.33,31.63,10.50
31.63,10.50,31.63,2.58
31.63,2.58, 6.62,2.67
 6.62,2.67, 6.62,-5.75
 6.62,-5.75,359.25,-5.67
259.25,-15.83,265.87,-15.92
275.50,-14.08,275.38,-2.08
275.38,-2.08,280.38,-2.17
280.38,-2.17,280.25,2.08
280.25,2.08,284.50,2.08
284.50,2.08,284.50,6.42
284.50,6.42,281.50,6.42
281.50,6.42,275.38,6.33
275.38,6.33,275.38,4.58
275.38,4.58,278.00,4.58
278.00,4.58,278.00,3.08
278.00,3.08,275.38,3.08
275.38,3.08,275.38,0.00
275.38,0.00,269.12,0.00
269.12,0.00,269.12,-4.00
269.12,-4.00,271.12,-4.00
271.12,-4.00,271.25,-10.00
271.25,-10.00,266.75,-9.92
266.75,-9.92,266.75,-10.25
266.75,-10.25,265.50,-10.25
265.50,-10.25,265.50,-9.92
265.50,-9.92,259.25,-9.83
259.25,-9.83,259.25,-15.83
309.62,2.42,306.00,2.42
306.00,2.42,306.00,8.83
306.00,8.83,303.62,8.83
303.62,8.83,303.50,16.17
303.50,16.17,299.00,16.08
